"Y"  "X1" "X2" "X3" "X4" "X5"
4 0.332 5499.3 99 12 10
6 0.284 3295.7 4 12 8
5 0.284 6670 22 12 8
5 0.411 5270 22 12 8
2 0.283 2815 4 12 4
6 0.47 21540 14 12 8
10 0.33 8040 14 12 4
0 0.282 10048.2 94 12 10
7 0.281 21756.7 22 12 10
11 0.28 78300 42 12 8
0 0.28 5703.8 99 12 10
12 0.28 17640 4 12 8
5 0.326 4157.4 60 12 10
2 0.278 2985 4 12 4
12 0.304 24862.3 6 12 8
0 0.276 5677.5 99 12 8
4 0.275 25935.4 46 12 10
7 0.284 25320 12 12 2
0 0.275 1922.4 0 12 4
7 0.275 18161.6 0 12 8
0 0.275 5866.9 4 12 4
0 0.274 3740 4 12 8
4 0.367 8750 70 12 10
6 0.272 28959.7 46 12 8
5 0.272 28820 40 12 8
7 0.365 17430.6 14 12 8
4 0.271 8052.3 46 12 8
6 0.325 23802.1 12 12 10
4 0.27 24577 35 12 10
2 0.27 4403.9 4 12 4
4 0.27 4013 4 12 8
0 0.269 10253.6 94 12 10
8 0.269 26478.2 19 12 8
5 0.315 10560 22 12 8
2 0.267 9998.2 94 12 10
5 0.519 3975.8 4 12 8
10 0.266 37450 44 12 8
4 0.266 4182.6 60 12 10
15 0.284 58800 4 12 8
10 0.265 37000 6 12 8
9 0.264 22800 46 12 8
9 0.264 26549.4 21 12 8
2 0.263 5488.9 99 12 10
6 0.357 10620 70 12 13
7 0.309 10510 22 12 8
3 0.261 9590 22 12 8
6 0.355 14395.9 46 12 8
6 0.26 19710 78 12 10
8 0.26 18180 16 12 10
12 0.259 58800 4 12 8
4 0.305 4770 14 12 6
5 0.258 12420 0 12 8
2 0.256 2386.6 0 12 4
3 0.256 7215.7 22 12 8
5 0.35 3650 0 12 8
11 0.256 15140 4 12 6
4 0.256 3049.3 22 12 8
8 0.255 24400 59 12 10
5 0.302 5900 96 12 10
3 0.255 17984.1 12 12 2
4 0.255 4012.5 6 12 8
5 0.254 14963.6 4 12 8
6 0.254 18061.1 0 12 2
8 0.253 10457.5 4 12 4
5 0.253 6007.5 46 12 10
5 0.252 7000 90 12 8
6 0.313 20700 48 12 10
6 0.251 33555.2 55 12 8
15 0.251 60611 12 12 2
5 0.251 13420 46 12 8
6 0.25 24606.2 30 12 10
5 0.25 5529.2 99 12 13
3 0.25 26110.6 40 12 8
3 0.25 7970 70 12 11
0 0.249 3710.3 4 12 10
2 0.249 12780 30 12 11
8 0.247 8850 22 12 8
0 0.247 5697.8 99 12 10
5 0.254 13437.8 12 12 8
6 0.294 13875 99 12 8
10 0.34 50664.4 16 12 10
0 0.246 5793.1 4 12 8
7 0.259 14718.4 12 12 8
12 0.245 78300 42 12 8
5 0.245 16005.6 14 12 8
3 0.245 6465 14 12 8
13 0.338 60758.3 12 12 2
5 0.244 18122.2 12 12 2
9 0.244 24921.6 6 12 8
7 0.243 24829.9 6 12 8
3 0.243 12780 80 12 11
3 0.242 18700 99 12 13
7 0.242 17538.3 52 12 8
4 0.289 5796.1 46 12 10
3 0.242 11913.3 12 12 8
8 0.241 34619.3 31 12 8
5 0.24 3793.2 6 12 8
0 0.24 5565.5 0 12 4
2 0.41 7980 22 12 4
5 0.286 11360 0 12 4
4 0.333 12500 14 12 8
8 0.332 22412.4 12 12 2
2 0.285 25370.78 12 12 8
6 0.237 6020 0 12 2
6 0.237 5767.3 4 12 4
7 0.237 13019.2 2 12 8
7 0.331 12633.1 46 12 10
3 0.237 2768.3 0 12 6
2 0.283 5622.222 70 12 10
4 0.236 3677.1 4 12 4
4 0.235 12780 99 12 11
7 0.371 25320 12 12 2
2 0.233 5168 4 12 4
7 0.233 24764.5 12 12 10
5 0.24 10406.6 4 12 4
2 0.232 13490 50 12 8
7 0.232 16150 14 12 8
0 0.232 5781.8 4 12 4
5 0.232 10620 70 12 13
8 0.231 39744 40 12 8
4 0.23 8246.4 56 12 8
11 0.324 37450 44 12 8
7 0.23 15411.7 4 12 4
2 0.23 5175.8 4 12 3
10 0.229 24939.7 6 12 8
6 0.229 6669.1 14 12 6
8 0.228 14988.5 4 12 12
2 0.228 2970 99 12 10
0 0.228 4212.3 60 12 10
4 0.247 1770 4 12 8
11 0.228 61038.5 12 12 8
3 0.29 6104.5 14 12 6
3 0.322 10620 70 12 13
5 0.227 4072.3 99 12 10
3 0.28 9981.8 94 12 10
7 0.274 24400 46 12 10
7 0.274 9570 46 12 8
6 0.227 15251.9 4 12 6
2 0.226 3740 4 12 8
10 0.226 39447.4 12 12 8
4 0.225 18052.1 12 12 2
6 0.753 24440.4 12 12 2
7 0.225 23791.7 12 12 10
3 0.224 10452.5 94 12 10
6 0.224 8180 70 12 13
8 0.317 45073.5 6 12 6
7 0.269 21740 77 12 10
6 0.222 13520 50 12 10
11 0.221 68102.7 8 12 8
7 0.221 32050 51 12 10
4 0.275 27424.2 40 12 8
3 0.315 10620 70 12 13
